Index,Case,Prompt,Success,Failure Type,Latency (s),Num Variables,Num Constraints,Prompt Length,Complexity Score,Reverse Prompt,Fidelity,Raw JSON
1,Knapsack,"Select items to maximize value under weight limit. Total capacity is 13. Items: [{'id': 'item0', 'value': 7, 'weight': 2}, {'id': 'item1', 'value': 5, 'weight': 4}, {'id': 'item2', 'value': 3, 'weight': 3}, {'id': 'item3', 'value': 4, 'weight': 2}, {'id': 'item4', 'value': 2, 'weight': 1}].",True,,4.53,5.0,1.0,291,8.91,"This is an optimization problem with five variables: item0, item1, item2, item3, and item4. The goal is to maximize the objective function, which is 7 times the value of item0 plus 5 times the value of item1 plus 3 times the value of item2 plus 4 times the value of item3 plus 2 times the value of item4.

However, there is a constraint to this problem. The sum of 2 times the value of item0, 4 times the value of item1, 3 times the value of item2, 2 times the value of item3, and the value of item4 must be less than or equal to 13. If this constraint is not met, a penalty of 10 will be applied.",0.02927927927927928,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""2*item0 + 4*item1 + 3*item2 + 2*item3 + 1*item4 <= 13"", ""penalty"": 10}], ""objective"": ""maximize: 7*item0 + 5*item1 + 3*item2 + 4*item3 + 2*item4""}"
2,Knapsack,"Select items to maximize value under weight limit. Total capacity is 20. Items: [{'id': 'item0', 'value': 8, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 2}, {'id': 'item2', 'value': 9, 'weight': 1}, {'id': 'item3', 'value': 1, 'weight': 5}, {'id': 'item4', 'value': 6, 'weight': 3}].",True,,4.18,5.0,1.0,291,8.91,"This is an optimization problem with five variables: item0, item1, item2, item3, and item4. The goal is to maximize the objective function 8*item0 + 9*item1 + 9*item2 + item3 + 6*item4.

The problem has one constraint, which is an inequality: item0 + 2*item1 + item2 + 5*item3 + 3*item4 must be less than or equal to 20. If this constraint is not met, a penalty of 100 will be applied to the objective function.",0.05413105413105413,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""item0 + 2*item1 + item2 + 5*item3 + 3*item4 <= 20"", ""penalty"": 100}], ""objective"": ""maximize: 8*item0 + 9*item1 + 9*item2 + item3 + 6*item4""}"
3,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 1, 'weight': 1}, {'id': 'item1', 'value': 8, 'weight': 2}, {'id': 'item2', 'value': 1, 'weight': 4}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 3, 'weight': 4}].",True,,5.05,5.0,1.0,291,8.91,"This is an optimization problem where we are trying to maximize the objective function: item0 + 8*item1 + item2 + 3*item3 + 3*item4. The variables in this problem are item0, item1, item2, item3, and item4. 

There is a constraint on these variables, which is an inequality: item0 + 2*item1 + 4*item2 + 2*item3 + 4*item4 must be less than or equal to 19. If this constraint is violated, there is a penalty of 10 applied to the objective function. 

The goal is to find the values of item0, item1, item2, item3, and item4 that maximize the objective function while satisfying the constraint.",0.07727272727272727,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""item0 + 2*item1 + 4*item2 + 2*item3 + 4*item4 <= 19"", ""penalty"": 10}], ""objective"": ""maximize: item0 + 8*item1 + item2 + 3*item3 + 3*item4""}"
4,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 6, 'weight': 1}, {'id': 'item1', 'value': 10, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 2}, {'id': 'item3', 'value': 4, 'weight': 5}, {'id': 'item4', 'value': 9, 'weight': 3}].",True,,5.22,5.0,1.0,293,8.93,"The optimization problem described in this JSON QUBO is as follows:

We have five items, labeled as item0, item1, item2, item3, and item4. Each item has a certain weight, with item0 having a weight of 1, item1 and item2 having a weight of 2 each, item3 having a weight of 5, and item4 having a weight of 3. 

The goal is to maximize the total value of the selected items, where item0 has a value of 6, item1 and item2 have a value of 10 each, item3 has a value of 4, and item4 has a value of 9. 

However, there is a constraint: the total weight of the selected items cannot exceed 19. If this constraint is violated, a penalty of 100 will be applied, reducing the total value.",0.08247422680412371,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""item0 + 2*item1 + 2*item2 + 5*item3 + 3*item4 <= 19"", ""penalty"": 100}], ""objective"": ""maximize: 6*item0 + 10*item1 + 10*item2 + 4*item3 + 9*item4""}"
5,Knapsack,"Select items to maximize value under weight limit. Total capacity is 17. Items: [{'id': 'item0', 'value': 9, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 3, 'weight': 5}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 8, 'weight': 4}].",True,,4.8,5.0,1.0,291,8.91,"The optimization problem involves five variables: item0, item1, item2, item3, and item4. The objective is to maximize the expression 9*item0 + 9*item1 + 3*item2 + 3*item3 + 8*item4. 

However, there is a constraint that must be satisfied: the sum of item0, five times item1, five times item2, two times item3, and four times item4 must be less than or equal to 17. If this constraint is violated, a penalty of 100 will be applied to the objective function.",0.08032128514056225,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""item0 + 5*item1 + 5*item2 + 2*item3 + 4*item4 <= 17"", ""penalty"": 100}], ""objective"": ""maximize: 9*item0 + 9*item1 + 3*item2 + 3*item3 + 8*item4""}"
6,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 6, 'weight': 3}, {'id': 'item2', 'value': 2, 'weight': 4}, {'id': 'item3', 'value': 8, 'weight': 2}, {'id': 'item4', 'value': 10, 'weight': 1}].",True,,6.21,5.0,1.0,292,8.92,"This is an optimization problem where the goal is to maximize the objective function 9*item0 + 6*item1 + 2*item2 + 8*item3 + 10*item4. The variables in this problem are item0, item1, item2, item3, and item4. 

There is a constraint that must be satisfied: the sum of 5 times item0, 3 times item1, 4 times item2, 2 times item3, and 1 times item4 must be less than or equal to 14. 

If this constraint is not met, a penalty of 100 will be added to the objective function, reducing the overall score. This penalty encourages solutions that satisfy the constraint.",0.05868544600938967,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""5*item0 + 3*item1 + 4*item2 + 2*item3 + 1*item4 <= 14"", ""penalty"": 100}], ""objective"": ""maximize: 9*item0 + 6*item1 + 2*item2 + 8*item3 + 10*item4""}"
7,Knapsack,"Select items to maximize value under weight limit. Total capacity is 12. Items: [{'id': 'item0', 'value': 4, 'weight': 3}, {'id': 'item1', 'value': 4, 'weight': 5}, {'id': 'item2', 'value': 9, 'weight': 3}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 7, 'weight': 4}].",True,,4.15,5.0,1.0,292,8.92,"This is an optimization problem with five variables: item0, item1, item2, item3, and item4. The goal is to maximize the objective function, which is 4 times the value of item0, plus 4 times the value of item1, plus 9 times the value of item2, plus 10 times the value of item3, plus 7 times the value of item4.

However, there is a constraint on these variables. The sum of 3 times the value of item0, 5 times the value of item1, 3 times the value of item2, 4 times the value of item3, and 4 times the value of item4 must not exceed 12. If this constraint is violated, a penalty of 100 will be applied to the objective function.",0.06311207834602829,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""3*item0 + 5*item1 + 3*item2 + 4*item3 + 4*item4 <= 12"", ""penalty"": 100}], ""objective"": ""maximize: 4*item0 + 4*item1 + 9*item2 + 10*item3 + 7*item4""}"
8,Knapsack,"Select items to maximize value under weight limit. Total capacity is 11. Items: [{'id': 'item0', 'value': 10, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 6, 'weight': 2}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 3, 'weight': 5}].",True,,4.91,5.0,1.0,293,8.93,"The optimization problem is to maximize the objective function 10*item0 + 9*item1 + 6*item2 + 10*item3 + 3*item4. This function represents a weighted sum of five items, where the weights are 10, 9, 6, 10, and 3 for item0, item1, item2, item3, and item4 respectively.

The problem is subject to a single constraint: the weighted sum of the items (with weights 1, 5, 2, 4, and 5 for item0, item1, item2, item3, and item4 respectively) must not exceed 11. If this constraint is violated, a penalty of 10 is applied to the objective function.",0.08182912154031288,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""item0 + 5*item1 + 2*item2 + 4*item3 + 5*item4 <= 11"", ""penalty"": 10}], ""objective"": ""maximize: 10*item0 + 9*item1 + 6*item2 + 10*item3 + 3*item4""}"
9,Knapsack,"Select items to maximize value under weight limit. Total capacity is 16. Items: [{'id': 'item0', 'value': 3, 'weight': 3}, {'id': 'item1', 'value': 3, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 4}, {'id': 'item3', 'value': 9, 'weight': 5}, {'id': 'item4', 'value': 4, 'weight': 1}].",True,,3.48,5.0,1.0,292,8.92,"The optimization problem described by this QUBO is as follows:

We have five items, labeled from item0 to item4. Each item has a certain weight: item0 weighs 3 units, item1 weighs 2 units, item2 weighs 4 units, item3 weighs 5 units, and item4 weighs 1 unit. The total weight of the items selected cannot exceed 16 units.

The goal is to maximize the value of the selected items, where the value of each item is given by: item0 has a value of 3, item1 has a value of 3, item2 has a value of 10, item3 has a value of 9, and item4 has a value of 4.

If the weight constraint is violated, a penalty of 10 units is subtracted from the total value.",0.06209850107066381,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""3*item0 + 2*item1 + 4*item2 + 5*item3 + 1*item4 <= 16"", ""penalty"": 10}], ""objective"": ""maximize: 3*item0 + 3*item1 + 10*item2 + 9*item3 + 4*item4""}"
10,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 5, 'weight': 5}, {'id': 'item1', 'value': 5, 'weight': 5}, {'id': 'item2', 'value': 4, 'weight': 5}, {'id': 'item3', 'value': 5, 'weight': 5}, {'id': 'item4', 'value': 8, 'weight': 2}].",True,,5.21,5.0,1.0,291,8.91,"The optimization problem is to maximize the objective function 5*item0 + 5*item1 + 4*item2 + 5*item3 + 8*item4. The variables in this problem are item0, item1, item2, item3, and item4. 

There is one constraint to consider: the sum of 5 times item0, 5 times item1, 5 times item2, 5 times item3, and 2 times item4 must be less than or equal to 14. If this constraint is not met, a penalty of 100 will be applied.",0.045584045584045586,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""5*item0 + 5*item1 + 5*item2 + 5*item3 + 2*item4 <= 14"", ""penalty"": 100}], ""objective"": ""maximize: 5*item0 + 5*item1 + 4*item2 + 5*item3 + 8*item4""}"
