Index,Case,Prompt,Success,Failure Type,Latency (s),Num Variables,Num Constraints,Prompt Length,Complexity Score,Reverse Prompt,Fidelity
1,Knapsack,"Select items to maximize value under weight limit. Total capacity is 13. Items: [{'id': 'item0', 'value': 7, 'weight': 2}, {'id': 'item1', 'value': 5, 'weight': 4}, {'id': 'item2', 'value': 3, 'weight': 3}, {'id': 'item3', 'value': 4, 'weight': 2}, {'id': 'item4', 'value': 2, 'weight': 1}].",True,,5.61,5,1,291,8.91,"In this optimization problem, we are given five items labeled as item0, item1, item2, item3, and item4. Each of these items can either be included (represented by the value 1) or excluded (represented by the value 0) from a selection. The goal is to determine the best combination of these items to maximize the total value, while adhering to certain constraints.

**Objective:**
The objective is to maximize the total value calculated as:
- 7 times the inclusion of item0
- 5 times the inclusion of item1
- 3 times the inclusion of item2
- 4 times the inclusion of item3
- 2 times the inclusion of item4

Thus, the formula for the objective function is:
\[ \text{Maximize } 7 \times \text{item0} + 5 \times \text{item1} + 3 \times \text{item2} + 4 \times \text{item3} + 2 \times \text{item4} \]

**Constraints:**
There is a constraint on the total weight of the items selected:
- The weight of item0 is 2 units.
- The weight of item1 is 4 units.
- The weight of item2 is 3 units.
- The weight of item3 is 2 units.
- The weight of item4 is 1 unit.

The total weight of the selected items must not exceed 13 units. This constraint is expressed as:
\[ 2 \times \text{item0} + 4 \times \text{item1} + 3 \times \text{item2} + 2 \times \text{item3} + 1 \times \text{item4} \leq 13 \]

If this constraint is violated, a penalty of 100 units is applied, which significantly reduces the objective value, thus discouraging the violation of this constraint.

**Summary:**
The task is to select a combination of these five items such that their total value is maximized without the total weight exceeding 13 units. Each item has a specific value and weight, and the selection must consider both these aspects to achieve the best possible outcome.",0.03652517275419546
2,Knapsack,"Select items to maximize value under weight limit. Total capacity is 20. Items: [{'id': 'item0', 'value': 8, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 2}, {'id': 'item2', 'value': 9, 'weight': 1}, {'id': 'item3', 'value': 1, 'weight': 5}, {'id': 'item4', 'value': 6, 'weight': 3}].",True,,5.07,5,1,291,8.91,"In this optimization problem, we have five binary variables: item0, item1, item2, item3, and item4. Each of these variables can either be 0 or 1. The goal is to determine the values of these variables in a way that maximizes the objective function while satisfying the given constraints.

**Objective Function:**
The objective is to maximize the value of the expression:
- 8 * item0 + 9 * item1 + 9 * item2 + 1 * item3 + 6 * item4

This means we aim to choose values for item0, item1, item2, item3, and item4 such that the sum of their weighted values is as high as possible.

**Constraints:**
There is one constraint on the values of the variables:
- item0 + 2 * item1 + item2 + 5 * item3 + 3 * item4 <= 20

This inequality constraint means the weighted sum of the items must not exceed 20. If this constraint is violated, a penalty of 100 is applied, which significantly reduces the objective value, making such solutions less desirable.

**Summary:**
The task is to select binary values (0 or 1) for each of the five items such that the total weighted sum of these items is maximized without exceeding a weighted sum limit of 20 for the constraint. The weights in the objective function suggest the relative importance or value of including each item in the solution, with item1 and item2 having the highest individual weights (9 each). Meanwhile, the constraint weights control how much each item 'costs' against the limit of 20, with item3 having the highest cost at a weight of 5.",0.04051772650534609
3,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 1, 'weight': 1}, {'id': 'item1', 'value': 8, 'weight': 2}, {'id': 'item2', 'value': 1, 'weight': 4}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 3, 'weight': 4}].",True,,4.4,5,1,291,8.91,"In this optimization problem, we have five variables: item0, item1, item2, item3, and item4. Each of these variables can take on values that will affect both the constraints and the objective of the problem.

**Constraint:**
The problem includes a single inequality constraint:
- The sum of item0, twice item1, four times item2, twice item3, and four times item4 must be less than or equal to 19. If this constraint is violated, a penalty of 100 units will be incurred.

**Objective:**
The goal of the problem is to maximize the value of the following expression:
- item0 plus eight times item1 plus item2 plus three times item3 plus three times item4.

**Summary:**
You need to choose values for item0, item1, item2, item3, and item4 such that the weighted sum of these items does not exceed 19, while trying to maximize the value of a different weighted sum of the same items. The challenge lies in balancing the values assigned to each item to achieve the highest possible score on the objective function without incurring penalties by violating the constraint.",0.07084870848708487
4,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 6, 'weight': 1}, {'id': 'item1', 'value': 10, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 2}, {'id': 'item3', 'value': 4, 'weight': 5}, {'id': 'item4', 'value': 9, 'weight': 3}].",True,,4.94,5,1,293,8.93,"In this optimization problem, we have five binary variables: item0, item1, item2, item3, and item4. Each of these variables can either be 0 or 1. The goal is to maximize the objective function, which is calculated as:

- 6 times the value of item0
- 10 times the value of item1
- 10 times the value of item2
- 4 times the value of item3
- 9 times the value of item4

Thus, the objective function is:
\[ \text{Objective} = 6 \times \text{item0} + 10 \times \text{item1} + 10 \times \text{item2} + 4 \times \text{item3} + 9 \times \text{item4} \]

However, there is a constraint that must be satisfied:
\[ \text{item0} + 2 \times \text{item1} + 2 \times \text{item2} + 5 \times \text{item3} + 3 \times \text{item4} \leq 19 \]

If this constraint is violated, a penalty of 100 units will be applied, which should be minimized or avoided to maximize the overall objective.

The task is to find the values of item0, item1, item2, item3, and item4 that maximize the objective function while ensuring that the total weighted sum of these items does not exceed 19.",0.020756115641215715
5,Knapsack,"Select items to maximize value under weight limit. Total capacity is 17. Items: [{'id': 'item0', 'value': 9, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 3, 'weight': 5}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 8, 'weight': 4}].",True,,4.87,5,1,291,8.91,"In this optimization problem, we have five binary variables: item0, item1, item2, item3, and item4. Each of these variables can either be 0 or 1.

**Objective:** The goal is to maximize the value of the expression \(9 \times \text{item0} + 9 \times \text{item1} + 3 \times \text{item2} + 3 \times \text{item3} + 8 \times \text{item4}\). This expression assigns different weights or values to each item, and we want to choose a combination of items that gives the highest total value.

**Constraint:** There is a constraint on the weighted sum of these items: \( \text{item0} + 5 \times \text{item1} + 5 \times \text{item2} + 2 \times \text{item3} + 4 \times \text{item4} \leq 17 \). This inequality restricts how much of each item can be included in the solution, based on their individual weights. The weights here could represent costs, sizes, or any other limiting factor that must not exceed a total of 17.

**Penalty:** If the constraint is violated (i.e., the sum exceeds 17), a penalty of 100 is applied. This penalty is used to discourage solutions that do not meet the constraint, making them less favorable compared to those that do.

**Summary:** The task is to select a combination of the items (by setting their corresponding variables to 1) such that the total value is maximized while ensuring that the weighted sum of the selected items does not exceed 17. If the sum exceeds 17, a significant penalty reduces the desirability of that solution.",0.03198172472872644
6,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 6, 'weight': 3}, {'id': 'item2', 'value': 2, 'weight': 4}, {'id': 'item3', 'value': 8, 'weight': 2}, {'id': 'item4', 'value': 10, 'weight': 1}].",True,,3.66,5,1,292,8.92,"In this optimization problem, we are given five binary variables: item0, item1, item2, item3, and item4. Each of these variables can either be 0 or 1. The goal is to determine the values of these variables in a way that maximizes the objective function, while also satisfying the given constraints.

**Objective Function:**
We aim to maximize the value of the expression:
- 9 * item0 + 6 * item1 + 2 * item2 + 8 * item3 + 10 * item4

This means we are trying to find the combination of items (where each item can either be included (1) or not included (0)) that gives the highest total score. The coefficients (9, 6, 2, 8, 10) represent the value or benefit of including each respective item.

**Constraint:**
The problem includes one constraint:
- The total weight of the selected items must not exceed 14. The weights of the items are as follows: item0 weighs 5, item1 weighs 3, item2 weighs 4, item3 weighs 2, and item4 weighs 1. Therefore, the constraint can be mathematically expressed as:
  - 5 * item0 + 3 * item1 + 4 * item2 + 2 * item3 + 1 * item4 <= 14

If this constraint is violated (i.e., the total weight exceeds 14), a penalty of 100 units will be applied, which significantly reduces the overall score, thus discouraging solutions that do not meet this weight limit.

**Summary:**
The task is to select a combination of items (0 or 1 for each of item0 through item4) such that their combined weight does not exceed 14, while their combined value (as calculated by the objective function) is maximized. This is a typical binary optimization problem, often encountered in scenarios like knapsack problems where the goal is to maximize the value of the selected items without exceeding a weight or capacity limit.",0.028741328047571853
7,Knapsack,"Select items to maximize value under weight limit. Total capacity is 12. Items: [{'id': 'item0', 'value': 4, 'weight': 3}, {'id': 'item1', 'value': 4, 'weight': 5}, {'id': 'item2', 'value': 9, 'weight': 3}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 7, 'weight': 4}].",True,,5.26,5,1,292,8.92,"In this optimization problem, you are tasked with selecting a combination of items (item0, item1, item2, item3, item4) to maximize the total value, while adhering to a specific constraint on resource usage.

**Objective:**
Your goal is to maximize the total value of the items selected. The values of the items are as follows:
- item0 has a value of 4,
- item1 has a value of 4,
- item2 has a value of 9,
- item3 has a value of 10,
- item4 has a value of 7.

You need to choose a combination of these items that gives the highest total value.

**Constraint:**
There is a limit on the total resource usage, which must not exceed 12. The resource usage for each item is:
- item0 uses 3 units,
- item1 uses 5 units,
- item2 uses 3 units,
- item3 uses 4 units,
- item4 uses 4 units.

If the total resource usage exceeds 12, there will be a penalty applied, which significantly reduces the overall score (or value) of the solution. The penalty for exceeding the resource limit is 100 units subtracted from the total value.

**Task:**
Choose whether to include each item (where choosing an item is represented by setting its corresponding variable to 1, and not choosing it is represented by setting the variable to 0) such that the total value is maximized without exceeding the resource limit of 12.",0.04032766225582861
8,Knapsack,"Select items to maximize value under weight limit. Total capacity is 11. Items: [{'id': 'item0', 'value': 10, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 6, 'weight': 2}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 3, 'weight': 5}].",True,,4.18,5,1,293,8.93,"In this optimization problem, you are tasked with selecting a combination of items (item0, item1, item2, item3, item4) to maximize the total value of the selected items, while adhering to a specific constraint on the total weight of the items selected.

**Objective:**
Maximize the total value of the items selected. The values of the items are as follows:
- item0 has a value of 10.
- item1 has a value of 9.
- item2 has a value of 6.
- item3 has a value of 10.
- item4 has a value of 3.

The objective function to maximize is:
\[ 10 \times \text{item0} + 9 \times \text{item1} + 6 \times \text{item2} + 10 \times \text{item3} + 3 \times \text{item4} \]

**Constraint:**
The total weight of the items selected must not exceed 11. The weights of the items are:
- item0 weighs 1 unit.
- item1 weighs 5 units.
- item2 weighs 2 units.
- item3 weighs 4 units.
- item4 weighs 5 units.

The constraint is expressed as:
\[ \text{item0} + 5 \times \text{item1} + 2 \times \text{item2} + 4 \times \text{item3} + 5 \times \text{item4} \leq 11 \]

If this constraint is violated, a penalty of 100 is incurred, which should be minimized or avoided to achieve the best solution.

**Variables:**
Each item variable (item0, item1, item2, item3, item4) can either be 0 (not selected) or 1 (selected). The goal is to determine the binary state (0 or 1) of each item variable that maximizes the objective function while satisfying the weight constraint.",0.03935185185185185
9,Knapsack,"Select items to maximize value under weight limit. Total capacity is 16. Items: [{'id': 'item0', 'value': 3, 'weight': 3}, {'id': 'item1', 'value': 3, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 4}, {'id': 'item3', 'value': 9, 'weight': 5}, {'id': 'item4', 'value': 4, 'weight': 1}].",True,,5.18,5,1,292,8.92,"This optimization problem involves five binary variables: item0, item1, item2, item3, and item4. Each of these variables can either be 0 or 1. The goal is to determine the values of these variables in a way that maximizes the objective function, while also satisfying a specified constraint.

**Objective Function:**
The objective is to maximize the value of the expression:
- 3*item0 + 3*item1 + 10*item2 + 9*item3 + 4*item4.

This means you want to choose values for item0, item1, item2, item3, and item4 that make the sum of 3 times item0, 3 times item1, 10 times item2, 9 times item3, and 4 times item4 as large as possible.

**Constraint:**
There is one constraint to consider:
- The sum of 3 times item0, 2 times item1, 4 times item2, 5 times item3, and 1 time item4 must be less than or equal to 16.

If this constraint is violated, a penalty of 100 is applied, which significantly reduces the objective value, making such solutions less desirable.

**Summary:**
You need to assign values of 0 or 1 to item0, item1, item2, item3, and item4 such that the total weighted sum specified by the constraint does not exceed 16, while trying to make the total weighted sum in the objective function as large as possible.",0.056915949702183985
10,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 5, 'weight': 5}, {'id': 'item1', 'value': 5, 'weight': 5}, {'id': 'item2', 'value': 4, 'weight': 5}, {'id': 'item3', 'value': 5, 'weight': 5}, {'id': 'item4', 'value': 8, 'weight': 2}].",True,,4.61,5,1,291,8.91,"The optimization problem described in the JSON involves five binary variables: item0, item1, item2, item3, and item4. Each of these variables can either be 0 or 1. The goal is to determine the values of these variables to maximize the objective function while satisfying the given constraints.

**Objective Function:**
The objective is to maximize the value of the expression:
- 5 * item0 + 5 * item1 + 4 * item2 + 5 * item3 + 8 * item4.

This means that each variable contributes a certain weight to the total score, and the aim is to maximize this total score. Specifically, item0, item1, and item3 each contribute 5 points when they are selected (i.e., set to 1), item2 contributes 4 points, and item4 contributes the most with 8 points.

**Constraint:**
There is one constraint in the problem:
- The total weighted sum of 5 * item0 + 5 * item1 + 5 * item2 + 5 * item3 + 2 * item4 must be less than or equal to 14.

This constraint limits the extent to which the items can be selected, ensuring that their combined weighted sum does not exceed 14. The weights in the constraint are 5 for item0, item1, item2, and item3, and 2 for item4, indicating that item4 has a lesser impact on this constraint compared to the others.

**Penalty:**
Violating the constraint incurs a penalty of 100 points. This high penalty discourages solutions that exceed the constraint limit, as such violations would significantly reduce the overall score, potentially offsetting any gains from the objective function.

**Summary:**
The task is to select a combination of items (item0 to item4) such that their weighted contribution to the objective function is maximized without exceeding a total weighted sum of 14 in the constraint. The selection of item4 is particularly influential due to its high value in the objective function but lower impact in the constraint.",0.056100981767180924
