index,case,ok,reason,num_vars_declared,num_vars_qubo,num_lin_terms,num_quad_terms,num_slack_vars,model
0,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
1,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
2,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
3,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
4,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
5,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
6,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
7,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
8,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
9,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
10,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
11,Knapsack,False,No JSON in row,,,,,,gpt-4
12,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
13,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
14,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
15,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
16,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
17,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
18,Knapsack,True,,5.0,9.0,9.0,36.0,4.0,gpt-4
19,Knapsack,True,,5.0,10.0,10.0,45.0,5.0,gpt-4
20,TSP,False,No JSON in row,,,,,,gpt-4
21,TSP,True,,5.0,9.0,9.0,21.0,0.0,gpt-4
22,TSP,False,No JSON in row,,,,,,gpt-4
23,TSP,True,,5.0,10.0,10.0,30.0,0.0,gpt-4
24,TSP,True,,5.0,10.0,10.0,30.0,0.0,gpt-4
25,TSP,True,,5.0,9.0,9.0,21.0,0.0,gpt-4
26,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
27,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
28,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
29,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
30,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
31,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
32,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
33,TSP,True,,5.0,10.0,10.0,30.0,0.0,gpt-4
34,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
35,TSP,True,,5.0,9.0,9.0,21.0,0.0,gpt-4
36,TSP,False,No JSON in row,,,,,,gpt-4
37,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
38,TSP,True,,5.0,9.0,9.0,21.0,0.0,gpt-4
39,TSP,True,,5.0,5.0,5.0,10.0,0.0,gpt-4
40,Seating,False,No JSON in row,,,,,,gpt-4
41,Seating,True,,4.0,6.0,2.0,6.0,0.0,gpt-4
42,Seating,False,No JSON in row,,,,,,gpt-4
43,Seating,True,,5.0,7.0,2.0,6.0,0.0,gpt-4
