Index,Case,Prompt,Success,Failure Type,Latency (s),Num Variables,Num Constraints,Prompt Length,Complexity Score,Reverse Prompt,Fidelity
1,Knapsack,"Select items to maximize value under weight limit. Total capacity is 13. Items: [{'id': 'item0', 'value': 7, 'weight': 2}, {'id': 'item1', 'value': 5, 'weight': 4}, {'id': 'item2', 'value': 3, 'weight': 3}, {'id': 'item3', 'value': 4, 'weight': 2}, {'id': 'item4', 'value': 2, 'weight': 1}].",True,,4.58,5,1,291,8.91,"We want to maximize the total value obtained by selecting items from a set of five items (item0, item1, item2, item3, item4). Each item has a specific value associated with it: item0 has a value of 7, item1 has a value of 5, item2 has a value of 3, item3 has a value of 4, and item4 has a value of 2.

However, there is a constraint that the total weight of the selected items cannot exceed 13 units. The weights of the items are as follows: item0 weighs 2 units, item1 weighs 4 units, item2 weighs 3 units, item3 weighs 2 units, and item4 weighs 1 unit.

If the total weight of the selected items exceeds 13 units, a penalty of 10 will be incurred.

The goal is to select a combination of items that maximizes the total value while ensuring that the total weight does not exceed the constraint.",0.04419889502762431
2,Knapsack,"Select items to maximize value under weight limit. Total capacity is 20. Items: [{'id': 'item0', 'value': 8, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 2}, {'id': 'item2', 'value': 9, 'weight': 1}, {'id': 'item3', 'value': 1, 'weight': 5}, {'id': 'item4', 'value': 6, 'weight': 3}].",True,,3.38,5,1,291,8.91,"We are trying to maximize a linear objective function that depends on five decision variables: item0, item1, item2, item3, and item4. The objective function to be maximized is 8 times item0 plus 9 times item1 plus 9 times item2 plus item3 plus 6 times item4.

There is one constraint that must be satisfied. The constraint is that the sum of item0, 2 times item1, item2, 5 times item3, and 3 times item4 must be less than or equal to 20. If this constraint is violated, a penalty of 100 will be incurred.

Therefore, the goal is to find values for item0, item1, item2, item3, and item4 that maximize the objective function while ensuring that the constraint is not violated.",0.06217616580310881
3,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 1, 'weight': 1}, {'id': 'item1', 'value': 8, 'weight': 2}, {'id': 'item2', 'value': 1, 'weight': 4}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 3, 'weight': 4}].",True,,3.55,5,1,291,8.91,"We are trying to maximize a linear objective function that depends on five variables: item0, item1, item2, item3, and item4. The objective function to be maximized is item0 + 8*item1 + item2 + 3*item3 + 3*item4.

There is one constraint in this problem, which is an inequality constraint. The constraint is that item0 + 2*item1 + 4*item2 + 2*item3 + 4*item4 should be less than or equal to 19. If this constraint is violated, a penalty of 10 will be incurred.

Therefore, the goal is to find values for item0, item1, item2, item3, and item4 that maximize the objective function while satisfying the given inequality constraint.",0.0718954248366013
4,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 6, 'weight': 1}, {'id': 'item1', 'value': 10, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 2}, {'id': 'item3', 'value': 4, 'weight': 5}, {'id': 'item4', 'value': 9, 'weight': 3}].",True,,4.66,5,1,293,8.93,"We have a set of five items: item0, item1, item2, item3, and item4. 

We want to maximize the total value of these items based on the following values assigned to each item: 6 for item0, 10 for item1, 10 for item2, 4 for item3, and 9 for item4.

However, there is a constraint that the total weight of the items cannot exceed 19 units. The weights of the items are as follows: item0 has a weight of 1 unit, item1 has a weight of 2 units, item2 has a weight of 2 units, item3 has a weight of 5 units, and item4 has a weight of 3 units.

If the total weight of the selected items exceeds 19 units, a penalty of 10 will be applied.

The goal is to select a combination of items that maximizes the total value while staying within the weight constraint.",0.06333973128598848
5,Knapsack,"Select items to maximize value under weight limit. Total capacity is 17. Items: [{'id': 'item0', 'value': 9, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 3, 'weight': 5}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 8, 'weight': 4}].",True,,5.5,5,1,291,8.91,"We want to maximize the total value obtained from selecting items, where each item has a different value. There is a constraint that the total weight of selected items cannot exceed 17 units. The values of the items are as follows:
- item0 has a value of 9
- item1 has a value of 9
- item2 has a value of 3
- item3 has a value of 3
- item4 has a value of 8

Additionally, there is a penalty of 100 for violating the weight constraint.",0.11586206896551725
6,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 6, 'weight': 3}, {'id': 'item2', 'value': 2, 'weight': 4}, {'id': 'item3', 'value': 8, 'weight': 2}, {'id': 'item4', 'value': 10, 'weight': 1}].",True,,4.12,5,1,292,8.92,"We have a set of five items: item0, item1, item2, item3, and item4. 

We want to maximize the total value of these items, where the value of each item is given by:
9 times the value of item0,
6 times the value of item1,
2 times the value of item2,
8 times the value of item3, and
10 times the value of item4.

However, there is a constraint that the total weight of the items cannot exceed 14 units. The weight of each item is:
5 units for item0,
3 units for item1,
4 units for item2,
2 units for item3, and
1 unit for item4.

If the total weight of the selected items exceeds 14 units, a penalty of 10 will be applied.

The goal is to select a combination of items that maximizes the total value while staying within the weight constraint.",0.07364341085271318
7,Knapsack,"Select items to maximize value under weight limit. Total capacity is 12. Items: [{'id': 'item0', 'value': 4, 'weight': 3}, {'id': 'item1', 'value': 4, 'weight': 5}, {'id': 'item2', 'value': 9, 'weight': 3}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 7, 'weight': 4}].",True,,4.91,5,1,292,8.92,"We are trying to maximize a linear objective function that depends on five variables: item0, item1, item2, item3, and item4. The objective function to be maximized is 4 times item0 plus 4 times item1 plus 9 times item2 plus 10 times item3 plus 7 times item4.

There is one constraint in the problem, which is an inequality constraint. The constraint states that 3 times item0 plus 5 times item1 plus 3 times item2 plus 4 times item3 plus 4 times item4 must be less than or equal to 12. If this constraint is violated, a penalty of 100 will be incurred.

Therefore, the goal is to find values for item0, item1, item2, item3, and item4 that maximize the objective function while satisfying the given inequality constraint.",0.07707509881422925
8,Knapsack,"Select items to maximize value under weight limit. Total capacity is 11. Items: [{'id': 'item0', 'value': 10, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 6, 'weight': 2}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 3, 'weight': 5}].",True,,4.73,5,1,293,8.93,"We want to maximize a linear objective function that depends on five items (item0, item1, item2, item3, item4), with coefficients 10, 9, 6, 10, and 3 respectively. 

There is a constraint that the sum of item0, 5 times item1, 2 times item2, 4 times item3, and 5 times item4 must be less than or equal to 11, with a penalty of 100 for violating this constraint.",0.07044410413476264
9,Knapsack,"Select items to maximize value under weight limit. Total capacity is 16. Items: [{'id': 'item0', 'value': 3, 'weight': 3}, {'id': 'item1', 'value': 3, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 4}, {'id': 'item3', 'value': 9, 'weight': 5}, {'id': 'item4', 'value': 4, 'weight': 1}].",True,,4.3,5,1,292,8.92,"We have a problem where we want to maximize a linear combination of the values of five items (item0, item1, item2, item3, item4) with coefficients 3, 3, 10, 9, and 4 respectively. 

There is a constraint that the total weight of the items cannot exceed 16 units, where each item has a specific weight: item0 has a weight of 3, item1 has a weight of 2, item2 has a weight of 4, item3 has a weight of 5, and item4 has a weight of 1. If this constraint is violated, a penalty of 100 will be incurred.

The goal is to find the combination of items that maximizes the objective function while satisfying the weight constraint.",0.08105147864184009
10,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 5, 'weight': 5}, {'id': 'item1', 'value': 5, 'weight': 5}, {'id': 'item2', 'value': 4, 'weight': 5}, {'id': 'item3', 'value': 5, 'weight': 5}, {'id': 'item4', 'value': 8, 'weight': 2}].",True,,5.46,5,1,291,8.91,"We have a set of five items: item0, item1, item2, item3, and item4. The goal is to maximize the total value obtained by selecting these items, where each item has a specific value associated with it. The objective is to maximize the expression 5*item0 + 5*item1 + 4*item2 + 5*item3 + 8*item4.

There is a constraint that needs to be satisfied: the total weight of the selected items cannot exceed 14 units. If this constraint is violated, a penalty of 100 will be incurred.

Therefore, the optimization problem is to select a combination of items to maximize the total value while ensuring that the total weight of the selected items does not exceed 14 units.",0.10105263157894737
