Index,Case,Prompt,Success,Failure Type,Latency (s),Num Variables,Num Constraints,Prompt Length,Complexity Score,Reverse Prompt,Fidelity
1,Knapsack,"Select items to maximize value under weight limit. Total capacity is 13. Items: [{'id': 'item0', 'value': 7, 'weight': 2}, {'id': 'item1', 'value': 5, 'weight': 4}, {'id': 'item2', 'value': 3, 'weight': 3}, {'id': 'item3', 'value': 4, 'weight': 2}, {'id': 'item4', 'value': 2, 'weight': 1}].",True,,1.71,5.0,1.0,291,8.91,"We want to maximize the expression \(7x_0 + 5x_1 + 3x_2 + 4x_3 + 2x_4\), where \(x_0\), \(x_1\), \(x_2\), \(x_3\), and \(x_4\) are variables.

Subject to the constraint \(2x_0 + 4x_1 + 3x_2 + 2x_3 + x_4 \leq 13\), with a penalty of 1000 for violating the constraint.",0.03590664272890485
2,Knapsack,"Select items to maximize value under weight limit. Total capacity is 20. Items: [{'id': 'item0', 'value': 8, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 2}, {'id': 'item2', 'value': 9, 'weight': 1}, {'id': 'item3', 'value': 1, 'weight': 5}, {'id': 'item4', 'value': 6, 'weight': 3}].",True,,1.95,5.0,1.0,291,8.91,"We are trying to maximize a profit function that depends on five items, denoted as item0, item1, item2, item3, and item4. The profit function is given by the expression 8*item0 + 9*item1 + 9*item2 + item3 + 6*item4.

There is a constraint that must be satisfied, which is that the sum of item0, 2 times item1, item2, 5 times item3, and 3 times item4 must be less than or equal to 20. If this constraint is violated, a penalty of 1000 is incurred.

Therefore, the goal is to determine the optimal quantities of item0, item1, item2, item3, and item4 that maximize the profit function while ensuring that the constraint is not violated.",0.03896103896103896
3,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 1, 'weight': 1}, {'id': 'item1', 'value': 8, 'weight': 2}, {'id': 'item2', 'value': 1, 'weight': 4}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 3, 'weight': 4}].",True,,1.51,5.0,1.0,291,8.91,"We are trying to maximize a linear objective function that depends on five variables: item0, item1, item2, item3, and item4. The objective function to be maximized is given by the expression ""item0 + 8*item1 + item2 + 3*item3 + 3*item4"".

There is one constraint in this problem, which is an inequality constraint. The constraint is that ""item0 + 2*item1 + 4*item2 + 2*item3 + 4*item4"" must be less than or equal to 19. If this constraint is violated, a penalty of 1000 is incurred.

Therefore, the goal is to find values for the variables item0, item1, item2, item3, and item4 that maximize the objective function while satisfying the given inequality constraint.",0.06910994764397906
4,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 6, 'weight': 1}, {'id': 'item1', 'value': 10, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 2}, {'id': 'item3', 'value': 4, 'weight': 5}, {'id': 'item4', 'value': 9, 'weight': 3}].",True,,1.69,5.0,1.0,293,8.93,"We are trying to maximize the total value obtained from selecting items, where each item has a different value. There is a constraint that limits the total weight of the selected items. The weight of each item is multiplied by a coefficient and summed up, and this total weight must be less than or equal to 19. If the constraint is violated, a penalty of 1000 is incurred. The goal is to select the combination of items that maximizes the total value, considering the constraint on the total weight.",0.11853720050441362
5,Knapsack,"Select items to maximize value under weight limit. Total capacity is 17. Items: [{'id': 'item0', 'value': 9, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 3, 'weight': 5}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 8, 'weight': 4}].",True,,2.63,5.0,1.0,291,8.91,"We have a set of five items: item0, item1, item2, item3, and item4. 

We want to maximize the total value of these items based on the following values assigned to each item: 
- item0 has a value of 9
- item1 has a value of 9
- item2 has a value of 3
- item3 has a value of 3
- item4 has a value of 8

However, there is a constraint that the total weight of the selected items cannot exceed 17 units, where the weights of the items are as follows:
- item0 weighs 1 unit
- item1 weighs 5 units
- item2 weighs 5 units
- item3 weighs 2 units
- item4 weighs 4 units

If the weight constraint is violated, a penalty of 1000 will be incurred.

Therefore, the goal is to select a combination of items that maximizes the total value while ensuring that the total weight does not exceed 17 units.",0.04085422469823584
6,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 6, 'weight': 3}, {'id': 'item2', 'value': 2, 'weight': 4}, {'id': 'item3', 'value': 8, 'weight': 2}, {'id': 'item4', 'value': 10, 'weight': 1}].",True,,1.52,5.0,1.0,292,8.92,"We are trying to maximize a linear objective function that depends on five decision variables: item0, item1, item2, item3, and item4. The objective function to be maximized is 9 times item0 plus 6 times item1 plus 2 times item2 plus 8 times item3 plus 10 times item4.

There is one constraint that must be satisfied. The constraint is that the sum of 5 times item0, 3 times item1, 4 times item2, 2 times item3, and item4 must be less than or equal to 14. If this constraint is violated, a penalty of 1000 will be incurred.",0.06633906633906633
7,Knapsack,"Select items to maximize value under weight limit. Total capacity is 12. Items: [{'id': 'item0', 'value': 4, 'weight': 3}, {'id': 'item1', 'value': 4, 'weight': 5}, {'id': 'item2', 'value': 9, 'weight': 3}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 7, 'weight': 4}].",True,,2.04,5.0,1.0,292,8.92,"We are trying to maximize a linear objective function that depends on five items (item0, item1, item2, item3, item4). The objective function to be maximized is 4 times the value of item0 plus 4 times the value of item1 plus 9 times the value of item2 plus 10 times the value of item3 plus 7 times the value of item4.

There is a constraint that must be satisfied, which is that the sum of 3 times item0, 5 times item1, 3 times item2, 4 times item3, and 4 times item4 must be less than or equal to 12. If this constraint is violated, a penalty of 1000 is incurred.

Therefore, the goal is to choose values for item0, item1, item2, item3, and item4 that maximize the objective function while ensuring that the constraint is not violated.",0.05258033106134372
8,Knapsack,"Select items to maximize value under weight limit. Total capacity is 11. Items: [{'id': 'item0', 'value': 10, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 6, 'weight': 2}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 3, 'weight': 5}].",True,,1.72,5.0,6.0,293,13.93,"We are given a maximization problem with five variables: \( x_0, x_1, x_2, x_3, x_4 \). The objective is to maximize the expression \( 10x_0 + 9x_1 + 6x_2 + 10x_3 + 3x_4 \).

There are six inequality constraints with penalties of 1000 each:
1. \( x_0 + 5x_1 + 2x_2 + 4x_3 + 5x_4 \leq 0 \)
2. \( x_0 \leq 0 \)
3. \( x_1 \leq 0 \)
4. \( x_2 \leq 0 \)
5. \( x_3 \leq 0 \)
6. \( x_4 \leq 0 \)

The goal is to find values for the variables that maximize the objective function while satisfying all the inequality constraints.",0.05904059040590406
9,Knapsack,"Select items to maximize value under weight limit. Total capacity is 16. Items: [{'id': 'item0', 'value': 3, 'weight': 3}, {'id': 'item1', 'value': 3, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 4}, {'id': 'item3', 'value': 9, 'weight': 5}, {'id': 'item4', 'value': 4, 'weight': 1}].",True,,1.74,5.0,1.0,292,8.92,"We want to maximize the expression \(3x_0 + 3x_1 + 10x_2 + 9x_3 + 4x_4\), subject to the constraint \(3x_0 + 2x_1 + 4x_2 + 5x_3 + x_4 \leq 16\).",0.1559633027522936
10,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 5, 'weight': 5}, {'id': 'item1', 'value': 5, 'weight': 5}, {'id': 'item2', 'value': 4, 'weight': 5}, {'id': 'item3', 'value': 5, 'weight': 5}, {'id': 'item4', 'value': 8, 'weight': 2}].",True,,0.97,5.0,1.0,291,8.91,We are trying to maximize the expression \(5 \times \text{item0} + 5 \times \text{item1} + 4 \times \text{item2} + 5 \times \text{item3} + 8 \times \text{item4}\) subject to the constraint \(5 \times \text{item0} + 5 \times \text{item1} + 4 \times \text{item2} + 5 \times \text{item3} + 2 \times \text{item4} \leq 14\).,0.009836065573770493
11,Knapsack,"Select items to maximize value under weight limit. Total capacity is 15. Items: [{'id': 'item0', 'value': 9, 'weight': 4}, {'id': 'item1', 'value': 3, 'weight': 3}, {'id': 'item2', 'value': 5, 'weight': 2}, {'id': 'item3', 'value': 7, 'weight': 5}, {'id': 'item4', 'value': 9, 'weight': 1}].",True,,1.13,5.0,1.0,291,8.91,"We are given a problem with five items (item0, item1, item2, item3, item4) that need to be assigned values. There is a constraint that the sum of the values of these items multiplied by certain coefficients (4 for item0, 3 for item1, 2 for item2, 5 for item3, and 1 for item4) should not exceed 15, with a penalty of 1000 for violating this constraint.

The objective is to maximize a function that is a linear combination of the values of the items, with coefficients of 9 for item0, 3 for item1, 5 for item2, 7 for item3, and 9 for item4.

Therefore, the optimization problem is to assign values to the items in a way that maximizes the total value, while ensuring that the sum of the values of the items multiplied by their respective coefficients does not exceed 15.",0.033930254476908575
12,Knapsack,"Select items to maximize value under weight limit. Total capacity is 15. Items: [{'id': 'item0', 'value': 8, 'weight': 4}, {'id': 'item1', 'value': 7, 'weight': 1}, {'id': 'item2', 'value': 1, 'weight': 5}, {'id': 'item3', 'value': 10, 'weight': 2}, {'id': 'item4', 'value': 2, 'weight': 5}].",True,,0.94,5.0,1.0,292,8.92,"We are trying to maximize a linear objective function that depends on five variables: item0, item1, item2, item3, and item4. The objective function to maximize is \(8 \times \text{item0} + 7 \times \text{item1} + \text{item2} + 10 \times \text{item3} + 2 \times \text{item4}\).

There is one constraint that must be satisfied: \(4 \times \text{item0} + \text{item1} + 5 \times \text{item2} + 2 \times \text{item3} + 5 \times \text{item4} \leq 15\). If this constraint is violated, a penalty of 1000 is incurred.

The goal is to find values for item0, item1, item2, item3, and item4 that maximize the objective function while satisfying the given constraint.",0.06111696522655427
