Index,Case,Prompt,Success,Failure Type,Latency (s),Num Variables,Num Constraints,Prompt Length,Complexity Score,Reverse Prompt,Fidelity,Raw JSON
1,Knapsack,"Select items to maximize value under weight limit. Total capacity is 13. Items: [{'id': 'item0', 'value': 7, 'weight': 2}, {'id': 'item1', 'value': 5, 'weight': 4}, {'id': 'item2', 'value': 3, 'weight': 3}, {'id': 'item3', 'value': 4, 'weight': 2}, {'id': 'item4', 'value': 2, 'weight': 1}].",True,,3.51,5.0,1.0,291,8.91,"This optimization problem involves selecting a subset of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items, where the values are as follows:
- item0 contributes 7 units,
- item1 contributes 5 units,
- item2 contributes 3 units,
- item3 contributes 4 units,
- item4 contributes 2 units.

However, there is a constraint on the combined ""weight"" of the selected items. The weights are:
- item0 weighs 2 units,
- item1 weighs 4 units,
- item2 weighs 3 units,
- item3 weighs 2 units,
- item4 weighs 1 unit.

The total weight of the chosen items must not exceed 13 units.

In summary, the problem is to choose which items to include in order to maximize the total value while ensuring that the sum of their weights does not go over 13.",0.04790419161676647,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""2*item0 + 4*item1 + 3*item2 + 2*item3 + 1*item4 <= 13"", ""penalty"": 10}], ""objective"": ""maximize: 7*item0 + 5*item1 + 3*item2 + 4*item3 + 2*item4""}"
2,Knapsack,"Select items to maximize value under weight limit. Total capacity is 20. Items: [{'id': 'item0', 'value': 8, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 2}, {'id': 'item2', 'value': 9, 'weight': 1}, {'id': 'item3', 'value': 1, 'weight': 5}, {'id': 'item4', 'value': 6, 'weight': 3}].",True,,1.92,5.0,1.0,291,8.91,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item has an associated weight and value:

- item0 has a weight of 1 and a value of 8,
- item1 has a weight of 2 and a value of 9,
- item2 has a weight of 1 and a value of 9,
- item3 has a weight of 5 and a value of 1,
- item4 has a weight of 3 and a value of 6.

The goal is to choose which items to include in order to maximize the total value. However, the total weight of the selected items must not exceed 20. If the combined weight goes over 20, a penalty is applied to discourage violating this constraint.

In summary, the problem is to find the combination of items that yields the highest total value without the total weight surpassing 20.",0.05534351145038168,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""1*item0 + 2*item1 + 1*item2 + 5*item3 + 3*item4 <= 20"", ""penalty"": 10}], ""objective"": ""maximize: 8*item0 + 9*item1 + 9*item2 + 1*item3 + 6*item4""}"
3,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 1, 'weight': 1}, {'id': 'item1', 'value': 8, 'weight': 2}, {'id': 'item2', 'value': 1, 'weight': 4}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 3, 'weight': 4}].",True,,1.94,5.0,1.0,291,8.91,"This optimization problem involves selecting items represented by five binary decision variables: x_item0, x_item1, x_item2, x_item3, and x_item4. Each variable can be either 0 or 1, indicating whether the corresponding item is excluded or included in the selection.

The goal is to maximize the total value obtained from the selected items, where the values are as follows:
- x_item0 contributes 1 unit of value,
- x_item1 contributes 8 units,
- x_item2 contributes 1 unit,
- x_item3 contributes 3 units,
- x_item4 contributes 3 units.

However, there is a constraint on the combined ""weight"" or cost of the selected items. The total weighted sum must not exceed 19, calculated as:
- 1 times x_item0,
- plus 2 times x_item1,
- plus 4 times x_item2,
- plus 2 times x_item3,
- plus 4 times x_item4.

If this constraint is violated, a penalty of 10 is applied, discouraging solutions that exceed the limit.

In summary, the problem is to choose which items to include to maximize the total value while ensuring that the weighted sum of selected items does not exceed 19.",0.025018395879323033,"{""variables"": [""x_item0"", ""x_item1"", ""x_item2"", ""x_item3"", ""x_item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""1*x_item0 + 2*x_item1 + 4*x_item2 + 2*x_item3 + 4*x_item4 <= 19"", ""penalty"": 10}], ""objective"": ""maximize: 1*x_item0 + 8*x_item1 + 1*x_item2 + 3*x_item3 + 3*x_item4""}"
4,Knapsack,"Select items to maximize value under weight limit. Total capacity is 19. Items: [{'id': 'item0', 'value': 6, 'weight': 1}, {'id': 'item1', 'value': 10, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 2}, {'id': 'item3', 'value': 4, 'weight': 5}, {'id': 'item4', 'value': 9, 'weight': 3}].",True,,2.65,5.0,1.0,293,8.93,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items. The values for the items are as follows:
- item0: 6
- item1: 10
- item2: 10
- item3: 4
- item4: 9

However, there is a constraint on the total weight of the selected items. The weights for the items are:
- item0: 1
- item1: 2
- item2: 2
- item3: 5
- item4: 3

The sum of the weights of the chosen items must be less than or equal to 19.

In summary, the problem is to choose a subset of items that maximizes the total value without exceeding a total weight of 19.",0.09233791748526522,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""1*item0 + 2*item1 + 2*item2 + 5*item3 + 3*item4 <= 19"", ""penalty"": 10}], ""objective"": ""maximize: 6*item0 + 10*item1 + 10*item2 + 4*item3 + 9*item4""}"
5,Knapsack,"Select items to maximize value under weight limit. Total capacity is 17. Items: [{'id': 'item0', 'value': 9, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 3, 'weight': 5}, {'id': 'item3', 'value': 3, 'weight': 2}, {'id': 'item4', 'value': 8, 'weight': 4}].",True,,2.69,5.0,1.0,291,8.91,"This optimization problem involves selecting items represented by binary decision variables x_item0, x_item1, x_item2, x_item3, and x_item4, where each variable can be either 0 (item not selected) or 1 (item selected).

The goal is to maximize the total value obtained from the selected items. The value contributed by each item is as follows:
- Item 0 contributes 9 units of value.
- Item 1 contributes 9 units of value.
- Item 2 contributes 3 units of value.
- Item 3 contributes 3 units of value.
- Item 4 contributes 8 units of value.

However, there is a constraint on the total weight (or cost) of the selected items. The weights of the items are:
- Item 0 weighs 1 unit.
- Item 1 weighs 5 units.
- Item 2 weighs 5 units.
- Item 3 weighs 2 units.
- Item 4 weighs 4 units.

The sum of the weights of the selected items must not exceed 17 units.

In summary, the problem is to choose a combination of items to maximize the total value without exceeding a total weight limit of 17.",0.02980392156862745,"{""variables"": [""x_item0"", ""x_item1"", ""x_item2"", ""x_item3"", ""x_item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""1*x_item0 + 5*x_item1 + 5*x_item2 + 2*x_item3 + 4*x_item4 <= 17"", ""penalty"": 10}], ""objective"": ""maximize: 9*x_item0 + 9*x_item1 + 3*x_item2 + 3*x_item3 + 8*x_item4""}"
6,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 6, 'weight': 3}, {'id': 'item2', 'value': 2, 'weight': 4}, {'id': 'item3', 'value': 8, 'weight': 2}, {'id': 'item4', 'value': 10, 'weight': 1}].",True,,2.05,5.0,1.0,292,8.92,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen or not (represented by binary variables). The goal is to maximize the total value obtained from the selected items, where the values are 9 for item0, 6 for item1, 2 for item2, 8 for item3, and 10 for item4.

However, there is a constraint on the combined ""weight"" or ""cost"" of the chosen items. Specifically, the weighted sum 5 times item0 plus 3 times item1 plus 4 times item2 plus 2 times item3 plus 1 times item4 must not exceed 14. If this constraint is violated, a penalty is applied to the solution.

In summary, the problem is to select items to maximize total value while ensuring that the weighted sum of the selected items does not exceed 14.",0.02411873840445269,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""5*item0 + 3*item1 + 4*item2 + 2*item3 + 1*item4 <= 14"", ""penalty"": 10}], ""objective"": ""maximize: 9*item0 + 6*item1 + 2*item2 + 8*item3 + 10*item4""}"
7,Knapsack,"Select items to maximize value under weight limit. Total capacity is 12. Items: [{'id': 'item0', 'value': 4, 'weight': 3}, {'id': 'item1', 'value': 4, 'weight': 5}, {'id': 'item2', 'value': 9, 'weight': 3}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 7, 'weight': 4}].",True,,1.85,5.0,1.0,292,8.92,"This optimization problem involves five decision variables named x0, x1, x2, x3, and x4. The goal is to select values for these variables to maximize the total value calculated as 4 times x0 plus 4 times x1 plus 9 times x2 plus 10 times x3 plus 7 times x4.

However, the selection of these variables is subject to a constraint: the weighted sum of the variables, calculated as 3 times x0 plus 5 times x1 plus 3 times x2 plus 4 times x3 plus 4 times x4, must be less than or equal to 12.

In summary, the problem is to choose values for x0 through x4 that maximize the expression 4x0 + 4x1 + 9x2 + 10x3 + 7x4, while ensuring that the sum 3x0 + 5x1 + 3x2 + 4x3 + 4x4 does not exceed 12.",0.0430327868852459,"{""variables"": [""x0"", ""x1"", ""x2"", ""x3"", ""x4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""3*x0 + 5*x1 + 3*x2 + 4*x3 + 4*x4 <= 12"", ""penalty"": 10}], ""objective"": ""maximize: 4*x0 + 4*x1 + 9*x2 + 10*x3 + 7*x4""}"
8,Knapsack,"Select items to maximize value under weight limit. Total capacity is 11. Items: [{'id': 'item0', 'value': 10, 'weight': 1}, {'id': 'item1', 'value': 9, 'weight': 5}, {'id': 'item2', 'value': 6, 'weight': 2}, {'id': 'item3', 'value': 10, 'weight': 4}, {'id': 'item4', 'value': 3, 'weight': 5}].",True,,2.66,5.0,1.0,293,8.93,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items. The values associated with each item are as follows:
- item0: 10
- item1: 9
- item2: 6
- item3: 10
- item4: 3

However, there is a constraint on the total weight of the selected items. Each item has a weight:
- item0: 1
- item1: 5
- item2: 2
- item3: 4
- item4: 5

The sum of the weights of the chosen items must not exceed 11.

In summary, the problem is to choose a subset of these five items to maximize the total value while ensuring that the combined weight does not exceed 11.",0.06943105110896818,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""1*item0 + 5*item1 + 2*item2 + 4*item3 + 5*item4 <= 11"", ""penalty"": 10}], ""objective"": ""maximize: 10*item0 + 9*item1 + 6*item2 + 10*item3 + 3*item4""}"
9,Knapsack,"Select items to maximize value under weight limit. Total capacity is 16. Items: [{'id': 'item0', 'value': 3, 'weight': 3}, {'id': 'item1', 'value': 3, 'weight': 2}, {'id': 'item2', 'value': 10, 'weight': 4}, {'id': 'item3', 'value': 9, 'weight': 5}, {'id': 'item4', 'value': 4, 'weight': 1}].",True,,2.87,5.0,1.0,292,8.92,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen or not (represented as binary decision variables). The goal is to maximize the total value obtained from the selected items, where the values are 3 for item0, 3 for item1, 10 for item2, 9 for item3, and 4 for item4.

However, there is a constraint on the total weight of the selected items. The weights are 3 for item0, 2 for item1, 4 for item2, 5 for item3, and 1 for item4. The sum of the weights of the chosen items must not exceed 16.

In summary, the problem is to choose which items to include in order to maximize the total value, while ensuring that the combined weight does not go over 16. If the weight constraint is violated, a penalty is applied to discourage such solutions.",0.05929919137466307,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""3*item0 + 2*item1 + 4*item2 + 5*item3 + 1*item4 <= 16"", ""penalty"": 10}], ""objective"": ""maximize: 3*item0 + 3*item1 + 10*item2 + 9*item3 + 4*item4""}"
10,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 5, 'weight': 5}, {'id': 'item1', 'value': 5, 'weight': 5}, {'id': 'item2', 'value': 4, 'weight': 5}, {'id': 'item3', 'value': 5, 'weight': 5}, {'id': 'item4', 'value': 8, 'weight': 2}].",True,,2.05,5.0,1.0,291,8.91,"This optimization problem involves five decision variables named x0, x1, x2, x3, and x4. Each variable can be chosen to contribute to the solution.

The goal is to maximize the total value calculated as follows: 5 times x0 plus 5 times x1 plus 4 times x2 plus 5 times x3 plus 8 times x4.

However, there is a constraint that must be respected: the combined weighted sum of the variables, calculated as 5 times x0 plus 5 times x1 plus 5 times x2 plus 5 times x3 plus 2 times x4, cannot exceed 14.

If this constraint is violated, a penalty with a weight of 10 is applied, discouraging solutions that do not satisfy the inequality.

In summary, the problem seeks to select values for x0 through x4 that maximize the objective function while ensuring that the weighted sum constraint is not exceeded.",0.04595588235294118,"{""variables"": [""x0"", ""x1"", ""x2"", ""x3"", ""x4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""5*x0 + 5*x1 + 5*x2 + 5*x3 + 2*x4 <= 14"", ""penalty"": 10}], ""objective"": ""maximize: 5*x0 + 5*x1 + 4*x2 + 5*x3 + 8*x4""}"
